5,4
8,5
6,5
2,9
5,6
5,5
11,5
3,5
4,6
5,5
6,3
9,5
6,5
5,11
5,5
9,5
6,5
5,9
5,5
9,3
4,3
4,5
5,6
4,7
5,5
6,5
5,5
5,10
6,4
5,5
4,5
4,5
4,7
5,6
5,5
14,5
5,9
5,6
5,4
11,3
2,5
4,7
5,6
4,5
8,5
8,5
5,6
5,6
6,4
6,5
4,5
5,6
10,4
5,5
3,5
5,8
5,7
7,3
7,3
3,5
4,6
5,6
6,5
8,5
3,5
5,8
3,5
3,3
4,3
5,5
5,7
5,5
5,5
8,3
8,4
5,10
5,7
5,6
7,5
4,5
3,8
5,3
5,4
6,5
4,5
4,9
5,6
5,5
8,5
6,6
5,6
5,4
9,5
4,5
3,6
4,9
5,5
5,5
11,5
4,8
2,3
4,4
3,4
3,4
7,6
4,7
5,6
5,5
6,5
8,7
5,3
5,4
5,4
10,4
2,6
5,3
5,4
5,5
6,5
5,5
3,9
4,4
5,3
7,4
4,4
3,6
4,7
5,4
10,3
6,2
5,2
5,7
7,3
7,3
5,3
5,2
5,2
5,2
3,5
5,3
5,3
5,2
6,2
5,2
4,2
5,2
11,4
3,6
3,3
5,3
5,2
7,6
7,3
3,4
5,3
5,4
7,3
4,2
5,3
5,3
5,5
7,6
6,3
5,3
5,5
9,5
6,10
5,5
5,4
5,4
8,4
5,9
3,5
5,3
7,4
6,3
3,5
5,8
5,5
12,4
7,5
5,5
5,8
8,3
7,5
5,5
5,9
4,7
6,5
9,5
4,5
4,7
5,7
7,5
5,5
3,8
3,6
4,4
5,5
9,7
6,6
4,2
5,4
5,4
10,4
7,7
5,4
5,4
9,2
7,2
3,3
4,5
3,8
8,5
5,5
4,5
5,8
5,6
6,5
7,5
4,5
4,6
5,4
9,4
5,4
4,5
5,7
5,5
10,6
3,5
4,5
4,7
4,4
5,4
6,5
3,5
5,6
5,6
10,5
6,7
5,6
5,4
5,5
8,5
3,5
4,7
5,7
8,5
7,5
4,5
4,6
5,6
8,3
5,3
4,8
4,3
5,4
6,4
7,4
5,5
5,8
5,4
8,3
6,4
3,5
4,5
4,9
6,5
4,5
4,5
5,7
5,4
9,5
6,5
2,5
4,8
4,5
3,5
4,5
4,6
5,6
5,5
5,5
5,5
6,5
6,7
3,4
4,4
5,5
5,6
8,4
6,2
4,5
5,5
11,5
4,6
3,7
5,3
6,4
5,5
4,5
5,10
9,5
7,5
4,5
5,9
5,3
5,5
8,4
4,5
4,8
4,6
3,5
5,5
9,5
6,7
4,2
5,4
8,4
6,5
6,7
5,6
7,4
6,4
4,5
5,8
5,5
7,2
4,5
4,3
5,3
5,9
6,5
5,4
5,3
5,5
11,7
4,5
5,3
5,4
9,5
7,8
5,7
4,5
5,4
11,4
4,10
4,5
5,4
5,4
8,5
7,8
5,4
5,4
10,5
6,3
5,9
5,7
6,3
7,5
3,5
5,11
5,6
7,5
7,5
4,2
3,18
5,3
12,2
5,2
3,3
4,18
5,19
3,3
6,60
5,14
4,11
5,3
10,5
5,4
3,3
5,3
5,4
6,3
5,12
5,5
5,5
5,5
5,5
5,5
5,5
5,5
382,md5,1,359,36356
1439,md5,1,1418,142604
177,md5,1,169,17664
375,388
1448,1522
178,184
377,383
1439,1524
178,191
